ip,port,protocol,country,anonymity,latency_ms,speed_kbps,score,last_seen
159.203.61.169,3128,http,CA,elite,204,,100.0,2026-09-24T07:07:54.692935+00:00
198.199.86.11,3128,http,US,elite,220,,100.0,2026-09-24T07:07:54.692441+00:00
209.97.150.167,3128,http,US,elite,231,,100.0,2026-09-24T07:07:54.690323+00:00
83.147.217.103,1080,socks5,US,elite,377,0.4,100.0,2026-09-24T07:07:54.700466+00:00
54.238.38.227,8080,http,JP,anonymous,418,0.7,100.0,2026-09-24T07:07:54.693484+00:00
103.237.102.191,11111,http,DE,elite,432,0.3,100.0,2026-09-24T07:07:54.683945+00:00
138.68.60.8,3128,http,US,elite,461,,100.0,2026-09-24T07:07:54.684389+00:00
107.167.18.122,443,http,US,elite,483,0.3,100.0,2026-09-24T07:07:54.691582+00:00
185.87.255.54,1080,socks5,GB,elite,512,0.3,100.0,2026-09-24T07:07:54.694488+00:00
107.150.41.226,18080,http,US,elite,521,0.3,100.0,2026-09-24T07:07:54.692595+00:00
181.119.224.25,8080,http,EC,anonymous,523,,100.0,2026-09-24T07:07:54.689840+00:00
95.3.69.222,8080,http,TR,elite,564,0.3,100.0,2026-09-24T07:07:54.693011+00:00
213.32.70.99,3128,http,FR,elite,565,0.3,100.0,2026-09-24T07:07:54.687043+00:00
45.32.160.61,1088,socks5,US,elite,636,0.2,100.0,2026-09-24T07:07:54.696377+00:00
190.97.236.130,999,http,VE,elite,660,0.2,100.0,2026-09-24T07:07:54.702522+00:00
47.89.184.18,3128,http,US,anonymous,663,0.2,100.0,2026-09-24T07:07:54.687574+00:00
34.43.46.91,443,http,US,elite,709,0.2,100.0,2026-09-24T07:07:54.692750+00:00
153.51.201.35,999,http,VE,elite,719,0.2,100.0,2026-09-24T07:07:54.702552+00:00
45.61.129.165,9050,socks5,US,anonymous,753,0.2,100.0,2026-09-24T07:07:54.696787+00:00
185.195.71.218,18080,http,CH,elite,774,0.2,100.0,2026-09-24T07:07:54.693402+00:00
134.209.29.120,3128,http,GB,elite,856,,100.0,2026-09-24T07:07:54.688387+00:00
213.111.146.36,18080,http,NL,elite,910,,100.0,2026-09-24T07:07:54.692269+00:00
95.211.174.135,3128,http,NL,elite,913,,100.0,2026-09-24T07:07:54.685817+00:00
135.148.120.20,1080,socks5,US,elite,946,0.2,100.0,2026-09-24T07:07:54.697786+00:00
213.35.122.117,1080,socks4,SG,anonymous,953,0.1,100.0,2026-09-24T07:07:54.682287+00:00
18.157.123.132,3128,http,DE,elite,991,,100.0,2026-09-24T07:07:54.702304+00:00
8.213.151.128,3128,http,KR,anonymous,1112,0.1,100.0,2026-09-24T07:07:54.691372+00:00
185.87.255.47,1080,socks5,GB,elite,1195,,100.0,2026-09-24T07:07:54.696911+00:00
130.110.103.245,3128,http,SA,elite,1359,,100.0,2026-09-24T07:07:54.692447+00:00
144.24.111.128,1088,socks5,IN,elite,1770,0.1,100.0,2026-09-24T07:07:54.700025+00:00
122.246.112.107,7890,http,CN,elite,1796,,100.0,2026-09-24T07:07:54.687238+00:00
128.199.202.122,8080,http,SG,elite,2169,,100.0,2026-09-24T07:07:54.688168+00:00
139.59.1.14,8080,http,IN,elite,2386,,100.0,2026-09-24T07:07:54.683732+00:00
47.107.107.24,80,http,CN,elite,2564,,100.0,2026-09-24T07:07:54.702732+00:00
8.209.255.13,3128,http,JP,anonymous,1246,0.1,98.6,2026-09-24T07:07:54.690512+00:00
57.128.231.218,1003,socks4,PL,elite,605,0.2,97.2,2026-09-24T07:07:54.676998+00:00
109.205.182.143,1088,socks5,FR,elite,2155,0.1,97.2,2026-09-24T07:07:54.694491+00:00
91.134.141.4,3128,http,FR,elite,851,,96.4,2026-09-24T07:07:54.702332+00:00
57.128.231.218,1204,socks4,PL,elite,646,0.2,93.3,2026-09-24T07:07:54.677075+00:00
47.91.65.23,3128,http,DE,anonymous,430,0.3,91.8,2026-09-24T07:07:54.693184+00:00
34.43.46.91,80,http,US,elite,683,0.2,90.0,2026-09-24T07:07:54.689931+00:00
95.111.228.190,1081,socks4,FR,elite,812,0.2,89.9,2026-09-24T07:07:54.677470+00:00
120.76.101.238,8080,http,CN,elite,2838,,88.7,2026-09-24T07:07:54.702737+00:00
103.75.118.84,1080,socks5,JP,elite,6845,0.0,87.5,2026-09-24T07:07:54.696026+00:00
139.162.78.109,3128,http,JP,elite,1290,,87.2,2026-09-24T07:07:54.702535+00:00
57.128.231.218,1008,socks4,PL,elite,487,0.3,84.9,2026-09-24T07:07:54.676515+00:00
57.128.231.218,1007,socks4,PL,elite,509,0.3,84.9,2026-09-24T07:07:54.677341+00:00
91.92.155.207,3128,http,CH,elite,1022,,84.4,2026-09-24T07:07:54.702321+00:00
120.232.115.57,17981,http,CN,elite,2605,,82.8,2026-09-24T07:07:54.684671+00:00
120.232.115.170,17981,http,CN,elite,2682,,82.4,2026-09-24T07:07:54.693335+00:00
8.138.217.152,21001,http,CN,anonymous,1206,,82.2,2026-09-24T07:07:54.702682+00:00
1.231.81.166,3128,http,KR,elite,1064,0.1,78.7,2026-09-24T07:07:54.684746+00:00
57.128.231.218,1002,socks4,PL,elite,459,0.3,77.0,2026-09-24T07:07:54.680002+00:00
57.128.231.218,1005,socks4,PL,elite,501,0.3,76.2,2026-09-24T07:07:54.676933+00:00
57.128.231.218,1006,socks4,PL,elite,508,0.3,76.2,2026-09-24T07:07:54.678376+00:00
57.128.231.218,1000,socks4,PL,elite,720,0.2,75.5,2026-09-24T07:07:54.679665+00:00
57.128.231.218,1200,socks4,PL,elite,523,0.3,73.1,2026-09-24T07:07:54.681438+00:00
37.59.125.131,8888,http,FR,elite,578,0.2,69.8,2026-09-24T07:07:54.687975+00:00
178.79.180.31,1088,socks4,GB,elite,1927,,68.0,2026-09-24T07:07:54.676467+00:00
192.243.115.26,1080,socks5,US,elite,2638,,68.0,2026-09-24T07:07:54.695328+00:00
165.154.162.73,8888,http,US,anonymous,1082,0.1,67.9,2026-09-24T07:07:54.692160+00:00
111.192.23.140,8888,http,CN,elite,1950,,66.7,2026-09-24T07:07:54.702735+00:00
83.147.216.208,1080,socks5,FI,elite,703,0.2,66.5,2026-09-24T07:07:54.694676+00:00
31.31.74.185,9898,http,CZ,anonymous,2640,0.1,66.2,2026-09-24T07:07:54.702377+00:00
50.192.195.69,39792,socks4,US,anonymous,441,0.3,65.2,2026-09-24T07:07:54.667501+00:00
103.119.19.218,3128,http,CZ,anonymous,494,0.3,63.7,2026-09-24T07:07:54.702318+00:00
161.35.70.249,3128,http,DE,elite,1045,,63.7,2026-09-24T07:07:54.702337+00:00
176.124.205.244,1080,socks4,SE,anonymous,699,,63.2,2026-09-24T07:07:54.676030+00:00
213.199.47.140,1080,socks5,FR,anonymous,2608,0.1,61.4,2026-09-24T07:07:54.701294+00:00
